cell_id,center_lat,center_lon,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly,road_length_km,building_count,gbif_observations,gbif_species_count,dist_to_cbd_km,zone,ndvi_mean,ndvi_std,ndvi_min,ndvi_accel,vegetation_stressed,fragmentation_index,infra_pressure,urban_proximity_score,rainfall_stress,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
0,12.7045,77.3045,,,,,,,,,1088.2,643.4,1056.4,959.1,1063.4,1150.2,1464.1,1301.7,899.2,1208.0,1083.37,124.62999999999988,0.0,0,0.0,0.0,43.1946,rural,,,,,0,0.0,0.0,0.022627,0,0.0,0.0,0.0,nan
1,12.7045,77.3135,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,42.4911,rural,,,,,0,0.0,0.0,0.022993,0,0.0,0.0,0.0,nan
2,12.7045,77.3225,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,41.7985,rural,,,,,0,0.0,0.0,0.023365,0,0.0,0.0,0.0,nan
3,12.7045,77.3315,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,41.1174,rural,,,,,0,0.0,0.0,0.023743,0,0.0,0.0,0.0,nan
4,12.7045,77.3405,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,40.4483,rural,,,,,0,0.0,0.0,0.024126,0,0.0,0.0,0.0,nan
5,12.7045,77.3495,,,,,,,,,1088.2,643.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1048.31,88.69000000000005,0.0,0,0.0,0.0,39.7917,rural,,,,,0,0.0,0.0,0.024515,0,0.0,0.0,0.0,nan
6,12.7045,77.3585,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,39.1485,rural,,,,,0,0.0,0.0,0.024908,0,0.0,0.0,0.0,nan
7,12.7045,77.3675,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,38.5191,rural,,,,,0,0.0,0.0,0.025304,0,0.0,0.0,0.0,nan
8,12.7045,77.3765,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,37.9044,rural,,,,,0,0.0,0.0,0.025704,0,0.0,0.0,0.0,nan
9,12.7045,77.3855,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,37.305,rural,,,,,0,0.0,0.0,0.026106,0,0.0,0.0,0.0,nan
10,12.7045,77.3945,,,,,,,,,1179.8,691.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1062.27,74.73000000000002,0.0,0,0.0,0.0,36.7217,rural,,,,,0,0.0,0.0,0.02651,0,0.0,0.0,0.0,nan
11,12.7045,77.4035,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,36.1552,rural,,,,,0,0.0,0.0,0.026914,0,0.0,0.0,0.0,nan
12,12.7045,77.4125,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,35.6064,rural,,,,,0,0.0,0.0,0.027318,0,0.0,0.0,0.0,nan
13,12.7045,77.4215,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,35.0761,rural,,,,,0,0.0,0.0,0.027719,0,0.0,0.0,0.0,nan
