cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label,predicted_label,pred_confidence,latent_stress_1,latent_stress_2,latent_stress_3,latent_stress_score,latent_stress_norm,cluster,cluster_name
0,12.7045,77.3045,0.113,0.5839,0.2955,-0.6665,0.4709,-0.2884,-0.484,0.3308,0.237426346474017,-0.7593,0.7177,0.0,0,0.0,0.022627,43.1946,124.62999999999988,0,0.0,0.0,0.0,0.2,0.2519,stable,stable,0.995,-154.0528,-13.2868,69.8485,154.6247,0.0005,0,Vegetation-loss zone
1,12.7045,77.3135,0.2557,0.0966,0.0403,-0.5862,-0.1590999999999999,-0.0563,-0.8016,0.1308666666666666,0.1117136667258457,0.1027999999999999,0.8536,0.0,0,0.0,0.022993,42.4911,56.040899653979245,0,0.0,0.0,0.0,0.2236,0.3941,at_risk,at_risk,0.8075,-154.0489,-6.0862,4.7365,154.1691,0.0005,0,Vegetation-loss zone
2,12.7045,77.3225,0.3322,0.4778,0.2408,-0.3515,0.1456,-0.237,-0.4428999999999999,0.3502666666666666,0.1195284624402628,-0.3826,0.3412,0.0,0,0.0,0.023365,41.7985,56.040899653979245,0,0.0,0.0,0.0,0.1054,0.2122,stable,stable,1.0,-154.0488,-5.9451,4.5516,154.1635,0.0005,0,Vegetation-loss zone
3,12.7045,77.3315,0.0146,0.3895,0.3282,-0.7779,0.3749,-0.0613,-0.4643,0.2440999999999999,0.2011022376802406,-0.4362,0.8238,0.0,0,0.0,0.023743,41.1174,56.040899653979245,0,0.0,0.0,0.0,0.2334,0.2502,stable,stable,0.955,-154.0488,-5.8072,4.3712,154.1582,0.0005,0,Vegetation-loss zone
4,12.7045,77.3405,0.1946,0.3476,0.3024,-0.4171,0.153,-0.0452,-0.3093,0.2815333333333333,0.0786054281416578,-0.1982,0.2792,0.0,0,0.0,0.024126,40.4483,56.040899653979245,0,0.0,0.0,0.0,0.1251,0.1523,stable,stable,1.0,-154.0487,-5.6705,4.1919,154.153,0.0005,0,Vegetation-loss zone
5,12.7045,77.3495,0.0262,0.2459,0.3425,-0.6424,0.2197,0.0966,-0.3260999999999999,0.2048666666666666,0.1620932550519402,-0.1231,0.7912,0.0,0,0.0,0.024515,39.7917,88.69000000000005,0,0.0,0.0,0.0,0.1927,0.1901,stable,stable,0.98,-154.0504,-8.8969,34.9224,154.3071,0.0005,0,Vegetation-loss zone
6,12.7045,77.3585,0.2606,0.2977,0.1925,-0.4995,0.0371,-0.1052,-0.5676,0.2502666666666667,0.0533558181769648,-0.1423,0.2132,0.0,0,0.0,0.024908,39.1485,56.040899653979245,0,0.0,0.0,0.0,0.1498,0.2574,stable,stable,1.0,-154.0486,-5.4061,3.8457,154.1434,0.0005,0,Vegetation-loss zone
7,12.7045,77.3675,0.3387,0.6991,0.4097,-0.3698,0.3604,-0.2894,-0.2988,0.4825,0.1909107644948288,-0.6497999999999999,0.3957,0.0,0,0.0,0.025304,38.5191,56.040899653979245,0,0.0,0.0,0.0,0.1109,0.1551,stable,stable,1.0,-154.0485,-5.2787,3.6786,154.1389,0.0005,0,Vegetation-loss zone
8,12.7045,77.3765,0.2503,0.5071,0.292,-0.3404999999999999,0.2568,-0.2151,-0.2988,0.3498,0.1378121547614723,-0.4719,0.394,0.0,0,0.0,0.025704,37.9044,56.040899653979245,0,0.0,0.0,0.0,0.1021,0.155,stable,stable,1.0,-154.0484,-5.1536,3.5148,154.1346,0.0005,0,Vegetation-loss zone
9,12.7045,77.3855,0.1801,0.3877,0.3131,-0.5128999999999999,0.2075999999999999,-0.0746,-0.3798999999999999,0.2936333333333333,0.1051601318624759,-0.2821999999999999,0.3581,0.0,0,0.0,0.026106,37.305,56.040899653979245,0,0.0,0.0,0.0,0.1539,0.1872,stable,stable,1.0,-154.0484,-5.0317,3.3551,154.1305,0.0005,0,Vegetation-loss zone
