cell_id,gbif_observations,gbif_species_count
0,0,0
10,0,0
20,1624,73
30,1592,92
40,21,20
50,0,0
60,0,0
70,18,18
80,1,1
90,1,1
100,0,0
110,873,79
120,15,15
130,1,1
140,0,0
150,1,1
160,0,0
170,0,0
180,0,0
190,10,10
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,54,29
270,0,0
280,64,15
290,2929,68
300,0,0
310,0,0
320,0,0
330,0,0
340,0,0
350,29,28
360,2,2
370,5,5
380,116,39
390,1,1
400,8,6
410,0,0
420,90,43
430,33,31
440,47,45
450,35,35
460,1,1
470,0,0
480,0,0
490,356,59
500,8193,94
510,0,0
520,34,22
530,2,2
540,0,0
550,0,0
560,103,57
570,847,105
580,1543,60
590,25,19
600,357,69
610,9,9
620,1,1
630,481,109
640,1626,47
650,10,5
660,0,0
670,2,2
680,0,0
690,0,0
700,13881,74
710,46,26
720,0,0
730,1,1
740,0,0
750,1,1
760,6,6
770,778,61
780,3512,57
790,6,5
800,0,0
810,0,0
820,3,3
830,845,83
840,84,57
850,2,1
860,0,0
870,0,0
880,4,4
890,36,35
900,1172,86
910,33,24
920,1,1
930,0,0
940,0,0
950,74,54
960,1448,71
970,360,152
980,72,44
990,17,16
1000,0,0
1010,0,0
1020,31,18
1030,3040,90
1040,64,29
1050,22,21
1060,1,1
1070,0,0
1080,1,1
1090,17,17
1100,760,57
1110,278,78
1120,254,47
1130,0,0
1140,0,0
1150,1,1
1160,243,57
1170,84,46
1180,9,9
1190,1756,61
1200,7,5
1210,424,100
1220,63,56
1230,2669,84
1240,4526,70
1250,9,8
1260,1,1
1270,0,0
1280,0,0
1290,5,4
1300,426,43
1310,349,74
1320,12,10
1330,2,2
1340,122,64
1350,2,1
1360,0,0
1370,2872,53
1380,1592,70
1390,6,6
1400,0,0
1410,97,68
1420,12,12
1430,113,50
1440,3455,57
1450,32,26
1460,0,0
1470,1,1
1480,48,45
1490,25,19
1500,11180,59
1510,109,34
1520,32,26
1530,1,1
1540,0,0
1550,130,44
1560,260,144
1570,1910,71
1580,506,76
1590,1,1
1600,0,0
1610,0,0
1620,5,5
1630,635,47
1640,563,54
1650,227767,85
1660,1,1
1670,17,17
1680,1,1
1690,0,0
1700,3501,68
1710,1028,52
1720,826,66
1730,1,1
1740,0,0
1750,0,0
1760,24,21
1770,76,21
1780,8,8
1790,389,71
1800,0,0
1810,7,7
1820,3,3
1830,167,51
1840,84492,65
1850,121,47
1860,1,1
1870,45,42
1880,26,24
1890,0,0
1900,92,36
1910,30,21
1920,81,28
1930,0,0
1940,0,0
1950,0,0
1960,13087,75
1970,34,13
1980,427,69
1990,466,65
2000,0,0
2010,5,5
2020,6,6
2030,177,57
2040,388,24
2050,138,46
2060,21,14
2070,0,0
2080,793,75
2090,0,0
2100,87,41
2110,231,64
2120,1480,62
2130,2,2
2140,0,0
2150,0,0
2160,28,27
2170,188,44
2180,48,27
2190,285,60
2200,14,11
2210,8,7
2220,0,0
2230,0,0
2240,940,51
2250,2788,42
2260,73,40
2270,0,0
2280,0,0
2290,1,1
2300,1,1
2310,20,13
2320,1108,79
2330,111,55
2340,0,0
2350,6,6
2360,2,2
2370,41,24
2380,0,0
2390,3373,64
2400,0,0
2410,0,0
2420,35,24
2430,1,1
2440,41,21
2450,5601,55
2460,26,26
2470,0,0
2480,38,18
2490,1,1
2500,29,14
2510,3095,47
2520,68,48
2530,10,9
2540,0,0
2550,0,0
2560,1,1
2570,4,4
2580,597,58
2590,49,36
2600,1,1
2610,0,0
2620,0,0
2630,1,1
2640,1062,59
2650,56986,54
2660,0,0
2670,0,0
2680,0,0
2690,0,0
2700,0,0
2710,19007,45
2720,129,50
2730,23,18
2740,0,0
2750,3,3
2760,18,18
2770,3,3
2780,9570,41
2790,177,53
2800,140,60
2810,0,0
2820,0,0
2830,0,0
2840,827,75
2850,3968,64
2860,0,0
2870,96,35
2880,0,0
2890,1,1
2900,3,3
2910,1379,74
2920,2,2
2930,0,0
2940,0,0
2950,1,1
2960,34,20
2970,0,0
2980,225,58
2990,0,0
3000,493,66
3010,18,17
3020,0,0
3030,7,7
3040,202,72
3050,13838,71
3060,0,0
3070,0,0
3080,0,0
3090,10,7
3100,14,12
3110,2840,80
3120,0,0
3130,0,0
3140,0,0
3150,95,37
3160,0,0
3170,1394,89
3180,8,6
3190,0,0
3200,159,73
3210,0,0
3220,0,0
3230,0,0
3240,15,8
3250,34,31
3260,0,0
3270,2,2
3280,0,0
3290,0,0
3300,2,2
3310,67,34
3320,209,55
3330,16,15
3340,0,0
3350,0,0
3360,0,0
3370,248,124
3380,16348,84
3390,2,2
3400,0,0
3410,0,0
3420,0,0
3430,0,0
3440,550,86
3450,54,26
3460,1,1
3470,0,0
3480,0,0
3490,0,0
3500,20,10
3510,48,23
3520,1019,86
3530,32,13
3540,0,0
3550,0,0
3560,35,34
3570,788,66
3580,7,7
3590,10,5
3600,72,23
3610,0,0
3620,0,0
3630,1,1
3640,7348,59
3650,541,85
3660,0,0
3670,1,1
3680,0,0
3690,0,0
3700,5,5
3710,62,31
3720,0,0
3730,356,49
3740,0,0
3750,0,0
