cell_id,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change
0,0.7795,0.113,0.5839,0.2955,-0.6665,0.4709,-0.2884,-0.484
1,0.8419,0.2557,0.0966,0.0403,-0.5862,-0.15909999999999996,-0.0563,-0.8016
2,0.6837,0.3322,0.4778,0.2408,-0.3515,0.1456,-0.23700000000000002,-0.44289999999999996
3,0.7925,0.0146,0.3895,0.3282,-0.7779,0.3749,-0.06130000000000002,-0.4643
4,0.6117,0.1946,0.3476,0.3024,-0.4171,0.15300000000000002,-0.04520000000000002,-0.3093
5,0.6686,0.0262,0.2459,0.3425,-0.6424,0.2197,0.09660000000000002,-0.32609999999999995
6,0.7601,0.2606,0.2977,0.1925,-0.4995,0.03710000000000002,-0.10520000000000002,-0.5676
7,0.7085,0.3387,0.6991,0.4097,-0.3698,0.36040000000000005,-0.28940000000000005,-0.2988
8,0.5908,0.2503,0.5071,0.292,-0.34049999999999997,0.2568,-0.2151,-0.2988
9,0.693,0.1801,0.3877,0.3131,-0.5128999999999999,0.20759999999999998,-0.0746,-0.37989999999999996
10,0.5061,0.2528,0.1571,0.0961,-0.25329999999999997,-0.09570000000000004,-0.060999999999999985,-0.41
11,0.8011,0.2957,0.1449,0.1236,-0.5054000000000001,-0.15080000000000002,-0.0213,-0.6775
12,0.8913,0.1185,0.7986,0.4482,-0.7727999999999999,0.6800999999999999,-0.3504,-0.4431
13,0.853,0.2557,0.2329,0.2346,-0.5972999999999999,-0.022799999999999987,0.001700000000000007,-0.6184
14,0.6803,0.4902,0.5285,0.3492,-0.1901,0.038299999999999945,-0.17929999999999996,-0.3311
15,0.7095,,,,,,,
16,0.7885,,,,,,,
17,0.719,,,,,,,
18,0.8067,,,,,,,
19,0.6909,,,,,,,
20,0.858,,,,,,,
21,0.7169,,,,,,,
22,0.5258,,,,,,,
23,0.5565,,,,,,,
24,0.8204,,,,,,,
25,0.5128,,,,,,,
26,0.7354,,,,,,,
27,0.8161,,,,,,,
28,0.7903,,,,,,,
29,0.7517,,,,,,,
30,0.7868,,,,,,,
31,0.8032,,,,,,,
32,0.7383,,,,,,,
33,0.6144,,,,,,,
34,0.7665,,,,,,,
35,0.7847,,,,,,,
36,0.6982,,,,,,,
37,0.4997,,,,,,,
38,0.4536,,,,,,,
39,0.5414,,,,,,,
40,0.4609,,,,,,,
41,0.4028,,,,,,,
42,0.4564,,,,,,,
43,0.6169,,,,,,,
44,0.4687,,,,,,,
45,0.3907,,,,,,,
46,0.5234,,,,,,,
47,0.4184,,,,,,,
48,0.6447,,,,,,,
49,0.4553,,,,,,,
50,0.2797,,,,,,,
51,0.2348,,,,,,,
52,0.4503,,,,,,,
53,0.536,,,,,,,
54,0.4756,,,,,,,
55,0.7083,,,,,,,
56,0.6904,,,,,,,
57,0.3802,,,,,,,
58,0.423,,,,,,,
59,0.32,,,,,,,
60,0.3968,,,,,,,
61,0.6641,,,,,,,
62,0.6286,,,,,,,
63,0.6478,,,,,,,
64,0.2799,,,,,,,
65,0.7731,,,,,,,
66,0.5382,,,,,,,
67,0.3803,0.1314,0.5016,0.3109,-0.24890000000000004,0.3702000000000001,-0.19070000000000004,-0.06940000000000002
68,0.3968,0.4878,0.3971,0.243,0.09100000000000003,-0.0907,-0.15410000000000001,-0.1538
69,0.8028,0.4198,0.3488,0.1666,-0.38299999999999995,-0.07100000000000001,-0.1822,-0.6362
70,0.573,0.3192,0.6219,0.1671,-0.25379999999999997,0.3027,-0.4548,-0.4058999999999999
71,0.6411,0.1791,0.5346,0.3225,-0.46199999999999997,0.3554999999999999,-0.21209999999999996,-0.3186
72,0.6516,0.3359,0.3069,0.1528,-0.3157,-0.02899999999999997,-0.15410000000000001,-0.49879999999999997
73,0.6755,0.3299,0.4139,0.1003,-0.34559999999999996,0.08399999999999996,-0.3136,-0.5751999999999999
74,0.6129,0.2499,0.515,0.1966,-0.363,0.2651,-0.3184,-0.4163
75,0.4714,0.3217,0.4361,0.0734,-0.1497,0.1144,-0.36269999999999997,-0.39799999999999996
76,0.626,0.1258,0.4546,0.4926,-0.5002,0.3288,0.03799999999999998,-0.13340000000000002
