cell_id,road_length_km,building_count
0,0.0,0
1,0.0,0
2,9.4714,0
3,8.533,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,1.3728,0
9,10.0224,0
10,10.3318,0
11,3.4882,0
12,6.0622,0
13,4.9365,0
14,8.0543,0
15,6.9542,0
16,8.3105,0
17,6.1742,0
18,5.3054,0
19,5.7637,1
20,9.3736,1
21,16.7906,0
22,21.0858,0
23,7.9467,0
24,8.2823,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,12.6439,0
30,8.8583,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,9.4242,0
39,6.0021,0
40,6.8697,0
41,4.4416,0
42,12.4264,0
43,20.2747,1
44,46.3421,2
45,20.8332,0
46,7.7771,2
47,7.3524,0
48,8.9771,0
49,8.2468,0
50,0.0,0
51,4.0149,0
52,8.1603,0
53,8.7346,7
54,18.3363,4
55,10.4613,0
56,17.749,0
57,33.6965,6
58,21.2384,0
59,17.8765,0
60,12.0915,5
61,0.9681,7
62,5.3164,0
63,13.982,159
64,9.3244,0
65,9.4948,0
66,3.4961,0
67,0.0,0
68,5.3272,0
69,4.0541,0
70,8.533,0
71,8.3268,0
72,18.7568,0
73,8.3836,0
74,3.1167,0
75,5.7937,0
76,15.9056,0
77,8.2093,0
78,6.8538,0
79,12.824,0
80,13.3303,0
81,13.0397,0
82,13.4709,0
83,14.3169,0
84,11.9615,0
85,7.8212,0
86,14.3668,0
87,15.1993,0
88,4.225,0
89,14.9099,0
90,4.1219,0
91,8.5125,0
92,2.5874,0
93,0.0,0
94,0.0,0
95,0.0,0
96,3.2631,1
97,12.1215,0
98,8.8583,0
99,10.7513,0
100,0.0,0
101,0.0,0
102,4.3817,0
103,3.6118,0
104,11.0417,0
105,6.2839,0
106,11.5869,0
107,12.4071,1
108,8.3683,0
109,8.8026,0
110,44.2014,1
111,62.638,6
112,27.5077,0
113,10.1144,0
114,15.2485,0
115,10.8967,0
116,7.3488,0
117,18.4962,0
118,8.9836,1
119,5.7003,0
120,19.0537,0
121,25.6465,0
122,19.8082,0
123,15.9825,0
124,35.7979,48
125,33.0761,107
126,24.1937,35
127,19.2786,113
128,18.1968,225
129,8.0494,4
130,22.769,59
131,29.3404,21
132,21.517,0
133,9.6762,0
134,5.3594,0
135,4.4754,0
136,0.0,0
137,0.0,0
138,2.1739,0
139,5.3207,0
140,11.5354,0
141,8.3836,0
142,11.0973,0
143,7.7955,0
144,11.032,0
145,12.902,0
146,8.6402,0
147,10.171,0
148,12.3774,0
149,8.8717,0
150,10.6069,0
151,0.0,0
152,4.0773,0
153,7.237,0
154,14.8494,3
155,12.7937,0
156,13.216,0
157,14.03,0
158,7.4097,0
159,10.3793,0
160,0.0,0
161,0.0,0
162,0.0,0
163,3.1246,0
164,16.9032,1
165,4.4606,0
166,11.7438,0
167,14.1081,0
168,6.7974,1
169,7.0662,1
170,7.0548,0
171,9.4189,0
172,4.5102,0
173,8.8053,0
174,12.8742,0
175,10.5037,0
176,19.0019,0
177,14.7309,0
178,27.0933,1
179,13.5092,2
180,19.8465,0
181,4.2637,0
182,20.1802,0
183,10.2402,0
184,14.1746,0
185,12.3574,1
186,9.1031,0
187,10.6453,1
188,15.9173,0
189,30.6711,5
190,45.2541,15
191,26.7613,0
192,51.6562,16
193,42.0078,3
194,41.1442,0
195,37.4889,9
196,28.2823,1
197,14.759,5
198,2.4844,6
199,12.5573,0
200,1.5611,1
201,6.6524,0
202,1.9849,0
203,0.0,0
204,0.0,0
205,0.0,0
206,1.2736,0
207,9.3129,0
208,0.0,0
209,6.8749,0
210,12.5191,0
211,9.3565,0
212,14.4723,0
