cell_id,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly
0,1088.2,643.4,1056.4,959.1,1063.4,1150.2,1464.1,1301.7,899.2,1208.0,1083.3700000000001,124.62999999999988
5,1088.2,643.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1048.31,88.69000000000005
10,1179.8,691.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1062.27,74.73000000000002
15,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982
20,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982
25,1179.8,691.4,1231.8,1022.7,973.2,1160.4,1482.1,1346.4,854.6,1240.4,1118.28,122.12000000000012
30,1179.8,691.4,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1101.17,155.92999999999984
35,1179.8,691.4,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1101.17,155.92999999999984
40,1236.8,687.8,1088.7,911.6,911.1,1204.3,1267.2,1153.5,721.3,1076.9,1025.9199999999998,50.980000000000246
45,1236.8,687.8,1088.7,911.6,911.1,1204.3,1267.2,1153.5,721.3,1076.9,1025.9199999999998,50.980000000000246
50,1236.8,687.8,997.6,854.7,835.4,1066.4,1254.9,1057.5,731.6,994.5,971.7199999999999,22.780000000000086
55,1236.8,687.8,997.6,854.7,835.4,1066.4,1254.9,1057.5,731.6,994.5,971.7199999999999,22.780000000000086
60,1236.8,687.8,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,968.2199999999999,25.180000000000064
65,1222.0,647.0,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,962.6600000000001,30.739999999999895
70,1088.2,643.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1048.31,88.69000000000005
75,1179.8,691.4,1030.2,875.4,1035.9,1100.4,1476.1,1239.9,856.6,1137.0,1062.27,74.73000000000002
80,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982
85,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982
90,1179.8,691.4,1231.8,1022.7,973.2,1160.4,1482.1,1346.4,854.6,1240.4,1118.28,122.12000000000012
95,1179.8,691.4,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1101.17,155.92999999999984
100,1179.8,691.4,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1101.17,155.92999999999984
105,1236.8,687.8,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1106.5100000000002,150.5899999999997
110,1236.8,687.8,1088.7,911.6,911.1,1204.3,1267.2,1153.5,721.3,1076.9,1025.9199999999998,50.980000000000246
115,1236.8,687.8,997.6,854.7,835.4,1066.4,1254.9,1057.5,731.6,994.5,971.7199999999999,22.780000000000086
120,1236.8,687.8,997.6,854.7,835.4,1066.4,1254.9,1057.5,731.6,994.5,971.7199999999999,22.780000000000086
125,1236.8,687.8,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,968.2199999999999,25.180000000000064
130,1236.8,687.8,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,968.2199999999999,25.180000000000064
135,1088.2,643.4,1056.4,959.1,1063.4,1150.2,1464.1,1301.7,899.2,1208.0,1083.3700000000001,124.62999999999988
220,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
225,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
